Title,Company,Location,Update Time,Minimum qualifications,Preferred qualifications,Responsibilities,About Job,Link
"Application Modernization Cloud Consultant, Google Cloud Professional Services",Google,"Austin, TX, USA
",2023-01-10T17:31:13.197Z,"5 years of experience in customer-facing projects and troubleshooting with cross-functional stakeholders.
Experience with architecting, developing, and maintaining technical solutions in virtualized environments.
Experience in program management.
Experience working in a cloud computing environment (i.e., infrastructure, storage, platforms and/or data).","Experience with customer-facing migration, including service discovery, assessment, planning, execution, and operations.
Experience with reading software code in one or more languages (e.g., Java, Javascript, and Python).
Experience in systems design with an ability to architect or explain complex systems interactions including data flows, common interfaces, APIs, and methods available.
Experience with Kubernetes, GKE, or EKS.
Experience working with Istio and/or Anthos.
Experience or interest with multi-cloud or hybrid Cloud environments.","Work with customers to help shape a program of work to meet their business requirements and outcomes with Google consulting services.
Interact with sales and partner leads and technical stakeholders to translate complex customer requirements into recommendations for appropriate solutions and consulting services.
Execute on project management responsibilities inclusive of scoping activities, structuring a team, and delivering in a timeline during consulting engagement.
Work closely with geographically dispersed internal teams, Product, and Engineering to package best practices and lessons learned into thought leadership, methodologies, and published assets.
Understand customer needs, help shape Google¡¦s long-term product strategy, and share your knowledge and skills to grow the team.","The Google Cloud Platform team helps customers transform and build what's next for their business ¡X all with technology built in the cloud. Our products are engineered for security, reliability and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping our customers ¡X developers, small and large businesses, educational institutions and government agencies ¡X see the benefits of our technology come to life. As part of an entrepreneurial team in this rapidly growing business, you will play a key role in understanding the needs of our customers and help shape the future of businesses of all sizes use technology to connect with customers, employees and partners.
As an Application Modernization Consultant, you will work with customers to assess existing enterprise applications in anticipation of a cloud migration. You will provide application design expertise, assess and classify applications and application platforms, and propose rewrite approaches to facilitate deployment to cloud native products like Google Kubernetes Engine.
You will work with customers on application re-design and implementation including application scaling, reliability, and ongoing operations such as application and feature rollouts, monitoring, and more. Additionally, you will work closely with Product Management and Product Engineering to build and constantly facilitate excellence in our products.
Google Cloud accelerates organizations¡¦ ability to digitally transform their business with the best infrastructure, platform, industry solutions and expertise. We deliver enterprise-grade solutions that leverage Google¡¦s cutting-edge technology ¡V all on the cleanest cloud in the industry. Customers in more than 200 countries and territories turn to Google Cloud as their trusted partner to enable growth and solve their most critical business problems.
The US base salary range for this full-time position is $134,000-$208,000 + bonus + equity + benefits. Our salary ranges are determined by role, level, and location. The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position across all US locations. Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training. Your recruiter can share more about the specific salary range for your preferred location during the hiring process.
Please note that the compensation details listed in US role postings reflect the base salary only, and do not include bonus, equity, or benefits. Learn more about benefits at Google.",https://careers.google.com/jobs/results/99627398556721862-application-modernization-cloud-consultant-google-cloud-professional-services/?page=28
"Product Manager, Cloud Infrastructure, Google Cloud",Google,"Sunnyvale, CA, USA
Cambridge, MA, USA
Kirkland, WA, USA
",2023-01-10T17:31:15.305Z,"Bachelor¡¦s degree in a technical field or equivalent practical experience building/shipping technical products.
Experience developing/launching products/technologies within Cloud Infrastructure.
Experience driving product vision, go-to-market strategy, and design discussions.
Experience creating strategic product roadmaps, and working with cross-functional teams.","Experience managing day-to-day technical and design direction.
Experience in one or more of the following: storage, compute, networking, high performance computing, and/or internal tools and infrastructure management.
Knowledge of multiple functional areas (e.g., Product Management, Engineering, UX/UI, Sales, Customer Support, Finance or Marketing).
Ability to influence multiple stakeholders without direct authority.","Understand the cloud ecosystem, markets, competition, and user requirements in depth.
Launch new products and features, test their performance, and iterate quickly.
Work collaboratively with Engineering, Marketing, Legal, UX, and other cross-functional teams on cutting edge technologies.
Develop innovative solutions to problems by collaborating as needed across regions, product areas, and functions.","At Google, we put our users first. The world is always changing so we need Product Managers who are continuously adapting and excited to work on products that affect millions of people every day.

In this role, you will work cross-functionally to guide products from conception to launch by connecting the technical and business worlds. You can break down complex problems into steps that drive product development at Google speed.

One of the many reasons Google consistently brings innovative, world-changing products to market is because of the collaborative work we do in Product Management. Our team works closely with creative and prolific engineers, designers, marketers, etc. to help design and develop technologies that improve access to the world's information. We're responsible for guiding products throughout the execution cycle, focusing specifically on analyzing, positioning, packaging, promoting, and tailoring our solutions to our users.
Google Cloud helps employees and organizations empower their employees, serve their customers, and build what¡¦s next for their business. As a Google Cloud Product Manager, you will drive product strategy and partner closely with cross-functional teams to define and deliver on the next phase of cloud services. Additionally, you will develop product solutions, Mergers and Acquisitions, go-to-market, and business relationships to execute on the market potential and benefits possible from applying Google¡¦s technologies in the enterprise market. By applying, you'll be considered for teams working on Enterprise, including: Cloud Platform, Google Technical Infrastructure, Unified Fulfillment Optimization, Cloud Systems, Cloud Security, Developer Products, and Internal Tools; as well as teams working on systems like: Borg, Chubby, Colossus, Jupiter (Data Center fabric) and next generation smartNICs.
Google aims to build products that organize the world's information and make it universally accessible to our users. As a Product Manager at Google, you could be working on new technologies, platforms, consumer facing products, and/or enterprise systems. The end goal will be to match you with the team that best aligns with your interests, experience, and where you will have the most impact.
The US base salary range for this full-time position is $130,000-$201,000 + bonus + equity + benefits. Our salary ranges are determined by role, level, and location. The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position across all US locations. Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training. Your recruiter can share more about the specific salary range for your preferred location during the hiring process.
Please note that the compensation details listed in US role postings reflect the base salary only, and do not include bonus, equity, or benefits. Learn more about benefits at Google.",https://careers.google.com/jobs/results/132710338886804166-product-manager-cloud-infrastructure-google-cloud/?page=28
"Technical Program Manager, Silicon Development",Google,"Sunnyvale, CA, USA
",2023-01-10T17:31:17.312Z,"Bachelor's degree in Electrical Engineering or equivalent practical experience.
Experience in silicon specialities like logic design, verification, physical implementation, design flows, and methodologies.
Experience with silicon product lifecycle from definition to manufacturing.","Master¡¦s degree or PhD in Electrical Engineering.
Experience in designing datacenter SoCs.
Experience in working with silicon ecosystem¡¦s EDA & IP providers.
Experience coding in languages (e.g., Python, Go, C++, etc.).","Justify, plan, coordinate, and deliver custom silicon products.
Assess complexities and scope out the project through design, development, test, manufacturing, deployment, and sustaining activities.
Communicate effectively in all mediums. Summarize and present your analysis and conclusions to peers, stakeholders, and executives.
Drive technical, budgetary, and schedule tradeoff discussions with cross-functional teams like system, software, and operations.
Generate task lists, build an efficient and effective data-driven project schedule, track the progress, proactively identify and mitigate potential future challenges.","A problem isn¡¦t truly solved until it¡¦s solved for all. That¡¦s why Googlers build products that help create opportunities for everyone, whether down the street or across the globe. As a Program Manager at Google, you¡¦ll lead complex, multi-disciplinary projects from start to finish ¡X working with stakeholders to plan requirements, manage project schedules, identify risks, and communicate clearly with cross-functional partners across the company. Your projects will often span offices, time zones, and hemispheres. It's your job to coordinate the players and keep them up to date on progress and deadlines.

Our goal is to build a Google that looks like the world around us ¡X and we want Googlers to stay and grow when they join us. As part of our efforts to build a Google for everyone, we build diversity, equity, and inclusion into our work and we aim to cultivate a sense of belonging throughout the company.
Behind all of Google¡¦s user-facing apps, sites, and services are data centers full of hardware and software developed by the Technical Infrastructure team. From the buildings themselves, all the way down to the computer chips running inside, we design and build products with focus on performance, cost, and scale.
As a Technical Program Manager, Silicon Development, you will support the development and execution of complex, multidisciplinary SoC projects. You will help plan programs and manage their execution from early concept through to production. You will collaborate closely with architecture, design, verification, physical implementation, and manufacturing teams throughout the SoC life-cycle.
Google Cloud provides organizations with leading infrastructure, platform capabilities and industry solutions. We deliver enterprise-grade cloud solutions that leverage Google¡¦s cutting-edge technology to help companies operate more efficiently and adapt to changing needs, giving customers a foundation for the future. Customers in more than 150 countries turn to Google Cloud as their trusted partner to solve their most critical business problems.
The US base salary range for this full-time position is $130,000-$201,000 + bonus + equity + benefits. Our salary ranges are determined by role, level, and location. The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position across all US locations. Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training. Your recruiter can share more about the specific salary range for your preferred location during the hiring process.
Please note that the compensation details listed in US role postings reflect the base salary only, and do not include bonus, equity, or benefits. Learn more about benefits at Google.",https://careers.google.com/jobs/results/114413463230390982-technical-program-manager-silicon-development/?page=28
"Senior Product Manager, Technical Infrastructure, Google Cloud",Google,"Sunnyvale, CA, USA
Kirkland, WA, USA
Seattle, WA, USA
",2023-01-10T17:31:20.360Z,"Bachelor's degree or equivalent practical experience.
8 years of experience in product management, co-founder or related technical role.
3 years of experience building and shipping technical products.
Experience developing/launching infrastructure products/technologies within networking, storage, compute hardware, databases, file systems, data analytics, cluster management, and other software infrastructure areas.","Master¡¦s degree or PhD in a technology or business related field.
3 years of people management experience with direct reports.
Experience in storage, compute, networking, performance computing, and/or tools and infrastructure management.
Experience managing technical and design direction.
Knowledge of multiple functional areas (e.g., Product Management, Engineering, UX/UI, Customer Support, or Marketing).
Ability to influence multiple stakeholders without direct authority.","Understand the cloud ecosystem, markets, competition, and user requirements in-depth.
Launch new products and features, test their performance, and iterate quickly.
Work collaboratively with engineering, marketing, legal, UX, and other teams on cutting-edge technologies.
Develop solutions to problems by collaborating as needed across regions, product areas, and functions.","At Google, we put our users first. The world is always changing, so we need Product Managers who are continuously adapting and excited to work on products that affect millions of people every day.

In this role, you will work cross-functionally to guide products from conception to launch by connecting the technical and business worlds. You can break down complex problems into steps that drive product development.

One of the many reasons Google consistently brings innovative, world-changing products to market is because of the collaborative work we do in Product Management. Our team works closely with creative engineers, designers, marketers, etc. to help design and develop technologies that improve access to the world's information. We're responsible for guiding products throughout the execution cycle, focusing specifically on analyzing, positioning, packaging, promoting, and tailoring our solutions to our users.
Google¡¦s Technical Infrastructure (TI) organization builds, operates, and maintains the infrastructure that makes Google possible. Within TI, the Systems Infrastructure team builds the hardware and software delivering the compute, storage, and networking infrastructure for our customers.
As a Product Manager on Google¡¦s TI team, you will manage product strategy and roadmap by partnering with cross-functional teams to define and deliver infrastructure products and services with a great product experience for our customers.

Behind everything our users see online is the architecture built by the Technical Infrastructure team to keep it running. From developing and maintaining our data centers to building the next generation of Google platforms, we make Google's product portfolio possible. We're proud to be our engineers' engineers and love voiding warranties by taking things apart so we can rebuild them. We keep our networks up and running, ensuring our users have the best and fastest experience possible.

The US base salary range for this full-time position is $153,000-$242,000 + bonus + equity + benefits. Our salary ranges are determined by role, level, and location. The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position across all US locations. Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training. Your recruiter can share more about the specific salary range for your preferred location during the hiring process.

Please note that the compensation details listed in US role postings reflect the base salary only, and do not include bonus, equity, or benefits. Learn more about benefits at Google.",https://careers.google.com/jobs/results/135390133894423238-senior-product-manager-technical-infrastructure-google-cloud/?page=28
"Waveguide Design Developer, Augmented Reality",Google,"Mountain View, CA, USA
",2023-01-10T17:31:18.192Z,"Bachelor's degree in electrical engineering, physics or equivalent
8 years of experience designing optical components based on physical principles and/or processes.
5 years of experience in MATLAB, Python, or similar scripting language.","PhD, postdoc or research experience in a national lab type environment with large scale physical simulations.
Extensive experience with creating and working with a closed loop measurement - modeling loop for high precision components and/or high volume production.
Proficient in more than one programming/scripting language (e.g., MATLAB) and the ability to quickly assimilate the Python scientific stack (NumPy, SciPy, Matplotlib, pandas).
Thorough understanding of semiconductor fabrication processes, diffractive optics, waveguide theory, simulation tools, and display specifications","Explore the waveguide design and trade-off space for various fabrication processes and materials
Deliver validated waveguide building blocks with the ultimate goal of moving blocks to mass production
Along with the simulation team create, test and validate new merit functions and optimization techniques for multi channel diffractive design
Work closely with metrology teams to develop test plans for validating waveguide building blocks and waveguide system performance","In this role, you will work closely with cross-functional teams to explore, build, and validate optical components for mass production.
Google's mission is to organize the world's information and make it universally accessible and useful. Our Devices & Services team combines the best of Google AI, Software, and Hardware to create radically helpful experiences for users. We research, design, and develop new technologies and hardware to make our user's interaction with computing faster, seamless, and more powerful. Whether finding new ways to capture and sense the world around us, advancing form factors, or improving interaction methods, the Devices & Services team is making people's lives better through technology.
The US base salary range for this full-time position is $141,000-$219,000 + bonus + equity + benefits. Our salary ranges are determined by role, level, and location. The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position across all US locations. Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training. Your recruiter can share more about the specific salary range for your preferred location during the hiring process.
Please note that the compensation details listed in US role postings reflect the base salary only, and do not include bonus, equity, or benefits. Learn more about benefits at Google.",https://careers.google.com/jobs/results/126833836404155078-waveguide-design-developer-augmented-reality/?page=28
Logistics Operations Manager,Google,"Atlanta, GA, USA
Lithia Springs, GA, USA
Clarksville, TN, USA
",2023-01-10T17:31:14.391Z,"Bachelor's degree in Business, Logistics, Operations, Engineering, a related field, or equivalent practical experience.
6 years of experience in managing data center, warehousing, manufacturing, or supply chain operations.","Experience managing operations in multiple locations simultaneously.
Experience in operations management, third-party logistics vendor relationships, budget creation, and cost management.
Ability to apply structured thinking and provide solutions to challenges.
Ability to handle multiple and changing priorities.
Excellent problem-solving, decision-making, communications, and follow-up skills.","Own day-to-day logistics operations management of multiple data center locations. 
Create, lead, and support cross-functional company initiatives/projects.
Manage and monitor vendor performance scorecards, Key Performance Indicators (KPIs), and development of business cases to support logistics process changes and/or improvements. 
Identify improvement opportunities to the cost and/or quality of services. Be proactive in turning thoughts into a documented business case, present the business case to peers and management for approval, and provide ongoing project management.
Manage relationships with multiple internal customers at data centers.","Google's custom-designed machines make up one of the largest and most powerful computing infrastructures in the world, and the Global Logistics team procures and manages the resources that power our immense collection. As a part of this team, you apply your knowledge of supply chain principles and your problem solving prowess to key logistics processes (managing vendors, shipping & receiving, inventory management, warehousing & distribution, transportation, etc.). Your diligence ensures the global delivery and life cycle management of network equipment is timely and efficient. You help the networking material supply chain by understanding the unique needs of the deployment team and defining best practices across multiple cross-functional teams. The end result of your work is the delivery of Google's products and services to millions of users around the world.
Behind everything our users see online is the architecture built by the Technical Infrastructure team to keep it running. From developing and maintaining our data centers to building the next generation of Google platforms, we make Google's product portfolio possible. We're proud to be our engineers' engineers and love voiding warranties by taking things apart so we can rebuild them. We keep our networks up and running, ensuring our users have the best and fastest experience possible.
The US base salary range for this full-time position is Demonstrated track record of operations management, third-party logistics vendor relationships, budget creation, and cost management. + bonus + equity + benefits. Our salary ranges are determined by role, level, and location. The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position across all US locations. Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training. Your recruiter can share more about the specific salary range for your preferred location during the hiring process.

Please note that the compensation details listed in US role postings reflect the base salary only, and do not include bonus, equity, or benefits. Learn more about benefits at Google.",https://careers.google.com/jobs/results/124504144112165574-logistics-operations-manager/?page=28
"Senior Product Manager, Google Cloud",Google,"Sunnyvale, CA, USA
Kirkland, WA, USA
Los Angeles, CA, USA

",2023-01-10T17:30:53.129Z,"Bachelor's degree or equivalent practical experience.
8 years of experience in product management, co-founder or related technical role.
3 years of experience building and shipping technical products.
Experience developing/launching products/technologies within one or more of the following: Cloud, SaaS, enterprise, internal tools, and/or supply chain networks.","3 years of people management experience with direct reports.
Experience driving product vision, go-to-market strategy, and design discussions.
Experience managing day-to-day technical and design direction.
Experience in one or more of the following: cloud infrastructure, SaaS, big data, security and privacy, development and operations, or artificial intelligence/machine learning.
Knowledge of multiple functional areas such as Product Management, Engineering, UX/UI, Sales, Customer Support, Finance, or Marketing.
Ability to influence multiple stakeholders without direct authority.","Understand the cloud ecosystem markets, competition, and user requirements in-depth.
Launch new products and features, test their performance, and iterate quickly.
Work collaboratively with engineering, marketing, legal, UX, and other teams on cutting-edge technologies.
Develop solutions to problems by collaborating as needed across regions, product areas, and functions.","At Google, we put our users first. The world is always changing, so we need Product Managers who are continuously adapting and excited to work on products that affect millions of people every day.

In this role, you will work cross-functionally to guide products from conception to launch by connecting the technical and business worlds. You can break down complex problems into steps that drive product development.

One of the many reasons Google consistently brings innovative, world-changing products to market is because of the collaborative work we do in Product Management. Our team works closely with creative engineers, designers, marketers, etc. to help design and develop technologies that improve access to the world's information. We're responsible for guiding products throughout the execution cycle, focusing specifically on analyzing, positioning, packaging, promoting, and tailoring our solutions to our users.
Google Cloud helps employees and organizations empower their employees, serve their customers, and build what¡¦s next for their business. As a Google Cloud Senior Product Manager, you will drive product strategy and partner closely with cross-functional teams to define and deliver on the next phase of cloud services. Additionally, you will develop product solutions, Mergers and Acquisitions, go-to-market, and business relationships to execute on the market potential and benefits possible from applying Google¡¦s technologies in the enterprise market.
By applying to this role, you'll be considered for all teams working on Enterprise, including Google Cloud Platform, Google Workspace, Unified Fulfillment Optimization, Google Cloud Systems, Google Cloud Security, Business Application Platform, Google Cloud AI/ML, Developer Product Group, and Internal Tools.


Google Cloud accelerates organizations¡¦ ability to digitally transform their business with the best infrastructure, platform, industry solutions and expertise. We deliver enterprise-grade solutions that leverage Google¡¦s cutting-edge technology ¡V all on the cleanest cloud in the industry. Customers in more than 200 countries and territories turn to Google Cloud as their trusted partner to enable growth and solve their most critical business problems.

The US base salary range for this full-time position is $153,000-$242,000 + bonus + equity + benefits. Our salary ranges are determined by role, level, and location. The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position across all US locations. Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training. Your recruiter can share more about the specific salary range for your preferred location during the hiring process.

Please note that the compensation details listed in US role postings reflect the base salary only, and do not include bonus, equity, or benefits. Learn more about benefits at Google.",https://careers.google.com/jobs/results/97854180976140998-senior-product-manager-google-cloud/?page=28
"Director, Site Reliability Engineering, Cloud Networking",Google,"Sunnyvale, CA, USA
",2023-01-10T17:31:06.520Z,"Bachelor's degree in Computer Science or equivalent practical experience.
15 years of experience with software development (e.g., algorithms, data structures) or systems design.
10 years of experience managing a geographically distributed team of engineers that are responsible for projects.","Master's degree or PhD in Computer Science or equivalent practical experience.
Experience with application-facing networking services.","Own, innovate, and create programs, new software, analytics, scalability, and latency of a subset of Google¡¦s products or services.
Manage on-call rotations of engineers across continents using a follow-the-sun model.
Work cross-functionally in partnership with product area leads from technologies.
Collaborate with teams building Google¡¦s hardware, data centers, and technical infrastructure.
Manage, lead, and grow a team of talented Site Reliability Engineers (SREs).","Site Reliability Engineering (SRE) combines software and systems engineering to build and run large-scale, massively distributed, fault-tolerant systems. SRE ensures that Google Cloud's services¡Xboth our internally critical and our externally-visible systems¡Xhave reliability, uptime appropriate to customer's needs and a fast rate of improvement. Additionally SRE¡¦s will keep an ever-watchful eye on our systems capacity and performance.

Much of our software development focuses on optimizing existing systems, building infrastructure and eliminating work through automation. On the SRE team, you¡¦ll have the opportunity to manage the complex challenges of scale which are unique to Google Cloud, while using your expertise in coding, algorithms, complexity analysis and large-scale system design. SRE's culture of diversity, intellectual curiosity, problem solving and openness is key to its success. Our organization brings together people with a wide variety of backgrounds, experiences and perspectives. We encourage them to collaborate, think big and take risks in a blame-free environment. We promote self-direction to work on meaningful projects, while we also strive to create an environment that provides the support and mentorship needed to learn and grow.
Behind everything our users see online is the architecture built by the Technical Infrastructure team to keep it running. From developing and maintaining our data centers to building the next generation of Google platforms, we make Google's product portfolio possible. We're proud to be our engineers' engineers and love voiding warranties by taking things apart so we can rebuild them. We keep our networks up and running, ensuring our users have the best and fastest experience possible.
The US base salary range for this full-time position is $256,000-$384,000 + bonus + equity + benefits. Our salary ranges are determined by role, level, and location. The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position across all US locations. Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training. Your recruiter can share more about the specific salary range for your preferred location during the hiring process.

Please note that the compensation details listed in US role postings reflect the base salary only, and do not include bonus, equity, or benefits. Learn more about benefits at Google.",https://careers.google.com/jobs/results/92854449208206022-director-site-reliability-engineering-cloud-networking/?page=28
"Field Sales Representative, State and Local Government",Google,"Sunnyvale, CA, USA
San Francisco, CA, USA
Chicago, IL, USA





",2023-01-10T17:30:53.535Z,"Bachelor's degree or equivalent practical experience.
7 years of technology related sales or business development experience at a B2B software company.","5 years of experience in building strategic business partnerships with public sector customers.
Experience in promoting infrastructure software, databases, analytical tools, applications software, or cloud solutions.
Experience working with and managing partners in complex implementation projects including global system integrators and packaged software vendors.
Demonstrated success with large complex commercial and legal negotiations, working with procurement, legal and business team.
Ability to work with sales engineers and customer technical leads including inventory existing software estate, define migration plans, and build business cases for migrations.","Build and deepen executive relationships with public sector customers. Influence long-term strategic direction and serve as a business partner.
Discuss and manage entire cycles, often presenting to C-level executives in public sector customers.
Lead account strategy in generating and developing business growth opportunities, working collaboratively with Customer Engineers and Google Partners in order to optimize business results in territory and open up opportunities with large public sector customers.
Understand customer technology footprint, strategic growth plans and business drivers, technology strategy, and business landscape.
Drive business development, forecast accurately, and achieve strategic goals by leading customers through the entire business cycle.","The Google Cloud Platform team helps customers transform and build what's next for their business ¡X all with technology built in the cloud. Our products are engineered for security, reliability and scalability, running the full stack from infrastructure to applications to devices and hardware. Our teams are dedicated to helping our customers ¡X developers, small and large businesses, educational institutions and government agencies ¡X see the benefits of our technology come to life. As part of an entrepreneurial team in this rapidly growing business, you will play a key role in understanding the needs of our customers and help shape the future of businesses of all sizes use technology to connect with customers, employees and partners.
As a Field Sales Representative, you will be working with our State and Local accounts. You¡¦ll leverage existing relationships with C-level executives, develop new relationships and act as a trusted business partner to understand their challenges and goals. You will promote the innovative power of our products to make organizations more productive, collaborative, and mobile.
Google Cloud accelerates organizations¡¦ ability to digitally transform their business with the best infrastructure, platform, industry solutions and expertise. We deliver enterprise-grade solutions that leverage Google¡¦s cutting-edge technology ¡V all on the cleanest cloud in the industry. Customers in more than 200 countries and territories turn to Google Cloud as their trusted partner to enable growth and solve their most critical business problems.
The US base salary range for this full-time position is $105,000-$166,000 + bonus + equity + benefits. Our salary ranges are determined by role, level, and location. The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position across all US locations. Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training. Your recruiter can share more about the specific salary range for your preferred location during the hiring process.
Please note that the compensation details listed in US role postings reflect the base salary only, and do not include bonus, equity, or benefits. Learn more about benefits at Google.",https://careers.google.com/jobs/results/107640426162201286-field-sales-representative-state-and-local-government/?page=28
"Technical Program Manager, Edge Network Deployment",Google,"Sunnyvale, CA, USA
Atlanta, GA, USA
New York, NY, USA
",2023-01-10T17:30:59.330Z,"Bachelor's degree or equivalent practical experience.
5 years of experience in project or program management telecommunications space.
Experience in a data center environment including OSP, ISP, AC/DC power systems, environmental controls relay, and rack, cabinet, and cage construction.
Experience in optical network infrastructure, transmission systems, layer 2/3, routers, and data services.","Experience managing and/or directing field operation technicians, engineers, contractors, vendors in a telco working environment.
Experience in collaborating across multiple levels and functions, and passionate to engage/influence tactical and strategic decision-making.
Experience managing third parties to successfully execute against objectives.
Ability to travel up to 50% of the time as needed.","Work with Edge and Metro Design teams to translate  network solutions into standard and scalable Bill of materials (BOMs) and detailed design packages for third-party to execute across multiple sites simultaneously, while providing technical support as necessary.
Work with Google acquisition teams, edge infrastructure engineering, neutral colocation providers, and third-party operations support vendors on solutions that accommodate fast and scalable deployments, as well as full life-cycle operations and maintenance support.
Participate in vendor selection, onboarding, and oversight. 
Work across all groups to measure performance, drive continuous process improvement, and drive automation efforts that align with achieving industry best network build, augment, and repair intervals and quality.
Serve as the primary technical escalation point for quality assurance and service improvement for all third-party vendors enlisted to build and/or operate in assigned areas of responsibility.","A problem isn¡¦t truly solved until it¡¦s solved for all. That¡¦s why Googlers build products that help create opportunities for everyone, whether down the street or across the globe. As a Program Manager at Google, you¡¦ll lead complex, multi-disciplinary projects from start to finish ¡X working with stakeholders to plan requirements, manage project schedules, identify risks, and communicate clearly with cross-functional partners across the company. Your projects will often span offices, time zones, and hemispheres. It's your job to coordinate the players and keep them up to date on progress and deadlines.

Our goal is to build a Google that looks like the world around us ¡X and we want Googlers to stay and grow when they join us. As part of our efforts to build a Google for everyone, we build diversity, equity, and inclusion into our work and we aim to cultivate a sense of belonging throughout the company.
Behind everything our users see online is the architecture built by the Technical Infrastructure team to keep it running. From developing and maintaining our data centers to building the next generation of Google platforms, we make Google's product portfolio possible. We're proud to be our engineers' engineers and love voiding warranties by taking things apart so we can rebuild them. We keep our networks up and running, ensuring our users have the best and fastest experience possible.

The US base salary range for this full-time position is $130,000-$201,000 + bonus + equity + benefits. Our salary ranges are determined by role, level, and location. The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position across all US locations. Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training. Your recruiter can share more about the specific salary range for your preferred location during the hiring process.
Please note that the compensation details listed in US role postings reflect the base salary only, and do not include bonus, equity, or benefits. Learn more about benefits at Google.",https://careers.google.com/jobs/results/112328168217420486-technical-program-manager-edge-network-deployment/?page=28
"Group Commodity Manager, Mechanical",Google,"Sunnyvale, CA, USA
",2023-01-10T17:30:58.222Z,"Bachelor's degree in Mechanical Engineering, Business, or equivalent practical experience in supply chain.
5 years of experience in Mechanical commodity management in technologies for data center applications.
Experience in agreement discussions and supplier performance management.
Experience with leading teams.","MBA or Master's degree in Mechanical Engineering or a related field.
Experience with sheetmetal, plastic process, and materials.
Ability to cope in a fast-paced and changing environment.
Excellent written communication, verbal, and leadership skills with the ability to assume a leadership role with cross-functional peers.
Analytical skills (i.e., cost modeling, quotation analysis, roadmap development, supplier selection/performance, planning process).
Team player, ambitious, result and detail oriented.","Lead and manage a team of mechanical commodity managers and work on programs.
Develop commodity strategies, execute on them, and lead cross-functional teams through robust supplier selection for new platforms.
Conduct agreements and secure comprehensive agreements with supplier executives. Manage supplier performance in cost, quality, delivery, and technology alignment through weekly meetings and scorecard reviews.
Maintain high level of industry expertise and supplier/market conditions. Work with suppliers on material escalations.
Implement supply chain improvements.","As a Group Commodity Manager, you will manage aspects of supplier development and performance management regarding Google's thermal technology and business needs. You will deliver cost effective and high quality optic technologies with supply chain agility that enable and sustain growth for Google. In addition, you will shape and influence the optical transmission technology roadmap to optimize Total Cost of Ownership (TCO) and time to market.
Behind everything our users see online is the architecture built by the Technical Infrastructure team to keep it running. From developing and maintaining our data centers to building the next generation of Google platforms, we make Google's product portfolio possible. We're proud to be our engineers' engineers and love voiding warranties by taking things apart so we can rebuild them. We keep our networks up and running, ensuring our users have the best and fastest experience possible.
Additional Information:
The US base salary range for this full-time position is $150,000-$238,000 + bonus + equity + benefits. Our salary ranges are determined by role, level, and location. The range displayed on each job posting reflects the minimum and maximum target for new hire salaries for the position across all US locations. Within the range, individual pay is determined by work location and additional factors, including job-related skills, experience, and relevant education or training. Your recruiter can share more about the specific salary range for your preferred location during the hiring process.

Please note that the compensation details listed in US role postings reflect the base salary only, and do not include bonus, equity, or benefits. Learn more about benefits at Google.",https://careers.google.com/jobs/results/98229612959408838-group-commodity-manager-mechanical/?page=28
